번호,종목코드,종목명,산업카테고리,시가총액(억),현재 PER,추정 PER,전년 영업이익,추정 영업이익,추정 ROE,부채비율,이익성장률,DeltaPER
0,403870,HPSP,반도체와반도체장비,45594.0,63.68,43.0,899.0,1281.0,30.75,19.95,0.42491657397107896,20.68
0,011170,롯데케미칼,화학,45556.0,,-12.0,-9431.0,-1005.0,-3.09,76.52,-0.893436539073269,
0,357870,TIGER CD금리투자KIS(합성),,44875.0,,,,,,,,
0,148020,RISE 200,,44197.0,,,,,,,,
0,010170,대한광통신,통신장비,43458.0,,,-214.0,23.0,-52.05,228.6,-1.1074766355140186,
0,004800,효성,복합기업,43525.0,13.19,13.19,3930.0,4620.0,12.92,88.55,0.17557251908396942,0.0
0,423160,KODEX KOFR금리액티브(합성),,43339.0,,,,,,,,
0,319400,현대무벡스,기계,43103.0,390.91,390.91,182.0,210.0,10.08,76.81,0.15384615384615374,0.0
0,381170,TIGER 미국테크TOP10 INDXX,,42882.0,,,,,,,,
0,222800,심텍,전자장비와기기,42607.0,,35.0,119.0,1588.0,19.05,181.13,12.344537815126051,
0,273130,KODEX 종합채권(AA-이상)액티브,,42139.0,,,,,,,,
0,004170,신세계,백화점과일반상점,42078.0,309.38,16.0,4800.0,6234.0,5.86,140.91,0.29875000000000007,293.38
0,051900,LG생활건강,화장품,41087.0,,26.0,1707.0,3251.0,3.26,23.32,0.9045108377270064,
0,023530,롯데쇼핑,백화점과일반상점,41019.0,79.58,14.0,5470.0,6982.0,1.89,124.77,0.27641681901279713,65.58
0,233740,KODEX 코스닥150레버리지,,41277.0,,,,,,,,
0,088350,한화생명,생명보험,4734.0,6.36,6.36,11472.0,11472.0,6.51,974.0,0.0,0.0
0,178320,서진시스템,전기장비,4197.0,,,11.0,2032.0,16.43,212.62,183.72727272727272,
0,489790,한화비전,통신장비,39987.0,87.71,27.0,1623.0,1987.0,15.7,108.88,0.22427603203943325,60.709999999999994
0,020150,롯데에너지머티리얼즈,전자장비와기기,39484.0,,-98.0,-1452.0,-448.0,-2.49,23.15,-0.6914600550964187,
0,360200,ACE 미국S&P500,,37646.0,,,,,,,,
0,017800,현대엘리베이터,기계,37724.0,14.4,14.4,2092.0,2307.0,16.84,157.77,0.10277246653919692,0.0
0,011780,금호석유화학,화학,37560.0,15.17,11.0,2718.0,3629.0,6.09,35.67,0.33517292126563647,4.17
0,012510,더존비즈온,소프트웨어,36474.0,40.91,40.91,1277.0,1277.0,16.0,78.85,0.0,0.0
0,145020,휴젤,생물공학,36297.0,26.0,21.0,2009.0,2160.0,16.61,9.86,0.07516177202588348,5.0
0,357780,솔브레인,반도체와반도체장비,36287.0,45.9,23.0,1336.0,2009.0,14.08,30.15,0.5037425149700598,22.9
0,214150,클래시스,건강관리장비와용품,36271.0,27.61,20.0,1706.0,2343.0,29.44,27.73,0.3733880422039859,7.609999999999999
0,111770,영원무역,"섬유,의류,신발,호화품",36070.0,7.33,6.0,5144.0,6305.0,13.64,39.25,0.2256998444790046,1.33
0,102780,KODEX 삼성그룹,,35724.0,,,,,,,,
0,375500,DL이앤씨,건설,35327.0,10.59,10.0,3870.0,4935.0,7.44,84.38,0.27519379844961245,0.5899999999999999
0,064760,티씨케이,반도체와반도체장비,35327.0,52.7,34.0,839.0,1234.0,18.17,9.3,0.4707985697258641,18.700000000000003
0,251270,넷마블,게임엔터테인먼트,35038.0,16.33,10.0,3525.0,3946.0,6.59,47.36,0.1194326241134751,6.329999999999998
0,458730,TIGER 미국배당다우존스,,34754.0,,,,,,,,
0,226950,올릭스,생명과학도구및서비스,34592.0,,,-300.0,-310.0,-28.79,30.18,0.03333333333333344,
0,084370,유진테크,반도체와반도체장비,34443.0,81.11,81.11,517.0,1189.0,21.07,18.16,1.2998065764023212,0.0
0,263750,펄어비스,게임엔터테인먼트,34308.0,,13.0,-148.0,3160.0,28.65,43.8,-22.35135135135135,
